Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.6833436,-8.8304473,28.2,10.95,19.3,416,8.85,17.4,45.8,6.12,0.0591,2.85,1.02,15.9,0.145,0.59,0.847,C1
53.1821457,-8.8236389,45,32.1,22.1,757,30.4,37.8,66.7,13.8,0.116,5.55,0.75,18.55,0.486,0.9,1.045,C1
53.1804352,-8.8547171,41,24.2,9.58,1115,26.3,32.5,68.5,9.21,0.1145,5.64,0.92,20.3,0.442,0.62,0.798,C1
53.1249813,-8.8285957,52.1,24.3,12.65,1060,25.5,32.7,51.4,9.55,0.137,6.72,0.9,22.2,0.42,0.69,0.813,C1
53.1812578,-8.9342927,54.9,27.1,13.7,959,28.9,39.1,82.8,13.05,0.1885,8.17,1.01,24.3,0.6,0.81,0.865,C1
53.67052,-9.2609769,157,31.4,17.75,601,30.7,38.2,81.2,6.14,0.115,9.23,0.67,24.6,0.216,0.82,1.84,C1
53.650371,-8.9211731,5.8,0.73,2.48,7.7,0.87,1.4,16.9,1.11,0.0456,0.159,0.19,14.1,0.2,0.28,0.067,C1
53.1292017,-8.9184181,108,39.8,17.45,1340,35.1,42.4,94.7,13.3,0.204,8.45,1.07,28.4,0.576,0.85,1.15,C1
53.1657747,-8.8566985,41.4,23.7,20.9,994,30.3,31.8,57.9,11.9,0.1155,6.28,0.95,20.1,0.479,0.63,1.005,C1
53.2328385,-8.9687358,54.6,27,14.65,896,31.5,44.8,79.8,9.45,0.1665,8,1.38,23.7,0.372,0.72,1.105,C1
53.8118658,-8.2549589,41.7,21.4,17.6,1555,43,28.2,87.6,8.15,0.1385,12.35,1.24,18.15,0.353,0.83,1.135,C1
53.1244872,-8.9690766,82.8,35.2,15.2,1150,36.3,49.5,93.5,12.9,0.259,9.51,1.3,31.7,0.677,1.23,1.385,C1
53.1082202,-8.9705327,59.3,26.7,17.45,1000,28.8,35.8,76.7,14.8,0.154,6.48,1.03,20.5,0.536,1.3,1.655,C1
53.6779129,-9.0195032,26.4,13.05,6.66,64,13.35,17.6,26.9,1.89,0.0541,2.41,0.26,10.65,0.153,0.37,0.813,C1
53.1308399,-8.8787424,50.2,25.5,16.65,938,24.4,29.7,70,12.6,0.159,5.44,0.85,22,0.479,0.85,0.84,C1
53.1481877,-8.8595022,38.3,26.2,7.29,779,27.9,30.2,37,8.14,0.1265,5.46,0.92,19.65,0.392,0.51,1.105,C1
