Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.7558737,-8.4109552,38.5,22.8,16.05,1020,26.7,47,76,10.25,0.128,9.14,1.85,19.2,0.334,0.8,1.165,1
53.3084482,-8.7291701,18.9,2.1,7.41,132,6.16,4.3,27.9,5.92,0.0526,1.415,1.55,14.65,0.191,0.31,2.31,1
53.7638466,-8.7146824,47.3,6.69,4.61,78.8,1.44,32.7,14.4,1.53,0.0566,0.342,0.69,14.75,0.185,0.35,0.551,1
53.3830966,-8.980378,73.3,57.1,25.2,189,26.3,75.3,64,10.85,0.1365,5.44,0.57,62.7,0.303,0.86,4.78,-1
54.0125958,-8.2345222,509,29.2,61.8,524,20.6,46.6,56.7,4.35,0.1165,7.43,0.99,16.95,0.391,1.45,17.9,-1
54.0487894,-8.145109,47.1,10.95,22,110,5.56,30.1,19.6,4.82,0.0697,1.805,2.74,16.45,0.276,1.12,0.846,1
53.8295936,-8.5965648,30,14.45,10.45,665,12.9,34.5,36.2,6.69,0.0622,4.92,0.96,10.8,0.228,0.47,0.963,1
53.328055,-8.4337609,13.1,9.87,9.07,297,9.37,32.8,28.2,2.56,0.0722,1.83,0.74,20.7,0.296,0.53,1.47,1
53.4397512,-8.6751661,31.3,8.96,102,430,15.4,19.7,34.4,10.85,0.093,3.63,0.85,21.6,0.601,1,9.01,-1
53.3337877,-8.612204,7.1,0.78,3.94,6.7,1.25,1.5,11,1.56,0.065,0.193,0.55,35.1,0.26,0.42,0.08,1
53.6011965,-7.5696758,61.1,22.9,33.3,1300,24,34.3,105.5,9.44,0.0912,9.41,1.67,24.2,0.476,0.66,1.055,1
53.3108608,-8.5846764,5.9,0.56,2.65,10.3,0.89,1.1,14.6,1.94,0.0945,0.151,0.23,60.4,0.374,0.4,0.064,1
53.1101878,-8.7645783,178,31.9,22.2,668,37,34.5,70,12.45,0.182,9.35,1.01,34.1,0.36,0.9,1.23,1
53.6122934,-8.4358356,62.9,13.25,13.75,1525,19.7,18.8,40.6,14.55,0.0852,8.45,1.01,12.75,0.235,0.4,1.145,1
53.1507234,-8.7958494,73.6,23.7,17.7,2030,28,33.3,106.5,7.67,0.147,7.83,0.95,30,0.33,0.77,0.83,1
53.2918132,-8.7073228,31.2,15.65,9.53,477,22.3,23.2,40.5,5.61,0.0853,5.63,0.58,14.55,0.246,0.48,0.921,1
53.3255577,-8.7095313,12.6,9.52,14.55,116,8.86,16.9,30.1,1.72,0.0586,1.755,0.49,12.25,0.179,0.4,3.36,1
53.7530258,-8.5673589,306,13.35,34.8,333,13.3,21.9,33.1,23.8,0.0924,3.91,1.7,17.2,0.239,0.98,5.52,1
53.3285229,-8.6722537,37.6,18.7,23.2,1115,27.6,26.4,67.5,12.8,0.1245,9.79,2.15,22.1,0.304,0.72,1.045,1
53.2087932,-8.5891388,31.5,29,12.85,474,27.4,35.8,45.2,19.65,0.1015,4.83,0.75,28.3,0.39,0.69,1.305,1
53.4955288,-7.4778106,71.3,23.8,11.25,440,22,34.3,107.5,8.38,0.1125,5,1.01,20.8,0.321,0.71,1.235,1
53.1080695,-8.7876556,175,40.2,36.8,311,39.3,39.9,101,10.6,0.229,9.64,0.7,60.4,0.365,0.91,11.1,-1
53.5953369,-8.7769468,38.3,22.3,17.95,231,29.6,35.8,56.8,11.7,0.118,6,1.02,21.1,0.311,0.76,1.88,1
53.343076,-8.6196337,11.2,1.32,3.87,12.1,1.63,2.4,22.8,2.86,0.123,0.276,0.28,27.2,0.408,0.71,0.112,1
53.1129538,-8.6465174,18.6,1.39,4.12,14.4,1.6,2.6,8.5,3.01,0.1015,0.376,0.76,23.8,0.285,0.69,0.12,1
53.2210153,-8.5491689,14.8,13.6,16.8,369,28.4,18,18.8,11.05,0.1025,4.85,0.41,19.2,0.355,0.58,4.27,1
53.1263183,-8.5887278,80,2.84,139.5,15100,2.92,4,34.2,20.4,0.249,5.84,0.52,65.1,0.506,1.08,0.98,-1
53.609524,-8.624976,21.6,3.54,7.44,175,5.57,4.9,13.9,1.94,0.0254,0.946,1.01,7.7,0.186,0.24,4.4,1
53.1135107,-8.5615078,46.8,6.29,4.64,190.5,3.37,10.1,16.7,9.06,0.11,2.3,0.42,28.5,0.178,0.63,0.365,1
53.654235,-8.558909,29.2,12.85,37.5,110,10.7,17.3,29,5.1,0.0746,2.59,0.29,34.4,0.227,0.66,5.79,1
53.5051676,-8.7129029,17.7,11.45,315,320,15.1,18.2,45.1,7.25,0.06,3.68,1.37,11.55,0.281,0.36,1.33,-1
53.4513138,-8.739155,18.4,9.23,18.6,144,29.6,19.2,29.2,6.29,0.0432,3,2.05,20.1,0.828,0.35,16.15,-1
53.1443834,-8.680674,104,5.5,9.47,153.5,7.47,14.2,14.4,12.25,0.1015,2.02,2.85,26.5,0.527,0.46,1.08,1
53.6527406,-8.6552571,3.7,0.5,1.63,11.9,0.71,0.9,9.2,0.41,0.013,0.13,0.16,3.62,0.071,0.1,0.063,-1
53.6541014,-7.8982938,125.5,1.06,5.33,218,8.01,1.4,128.5,11.4,0.0041,8.67,1.7,0.366,0.18,0.03,7.37,-1
53.667536,-7.5614501,2.6,0.34,1.05,4.1,0.65,0.6,31,0.17,0.0051,0.114,0.07,0.465,0.015,0.05,0.034,-1
53.7057949,-7.802408,652,26.1,63.2,571,60.1,50,83.3,35.5,0.1475,12.15,2.28,28.3,1.725,0.87,7.89,-1
53.6541833,-8.5903061,63.3,1.44,3.98,217,1.98,2.8,18.2,51.9,0.1975,0.701,0.45,395,11.55,0.55,0.194,-1
53.1091667,-8.5865673,171.5,1.88,4.05,903,4.7,3.6,30.1,42.1,0.187,7.56,0.4,36.7,0.412,0.8,0.264,-1
53.2183499,-8.4326973,57.3,38.6,47.7,317,69.6,40.4,72.8,7.38,0.1475,8.03,1.08,21.2,0.359,0.86,2.85,-1
53.2370749,-7.4482246,32.9,2.41,4.47,52.4,2.71,9.5,20.4,2.7,0.0537,0.635,1.45,33.4,0.331,0.36,0.499,1
53.1135691,-8.6220948,168,3.12,3.3,1510,3.18,4.1,22.5,19.85,0.1275,3.1,0.27,30.7,0.37,0.5,0.453,1
